reg,pv_cap_per_us
R1,0.9049633389734912
R10,3.364273204903678
R11,5.750909090909091
R12,0.47206414899120536
R13,3.1321321321321323
R14,0.694955209806695
R15,1.9864864864864864
R16,1.8551456310679613
R17,1.8352490421455938
R18,1.0487693710118504
R2,1.0098522167487685
R3,1.1525998492840994
R4,4.595488721804511
R5,4.1888412017167385
R6,2.840037418147802
R7,0.2917042380522994
R8,3.557620817843866
R9,1.492537313432836
SARD,0.6765779864371414
SICI,1.2787598585803643
